original_title,budget,release_date,revenue,runtime,vote_average,vote_count,cast,director,Action,Adventure,Fantasy,Science_Fiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TV,overview
Avatar,237000000.0,2009-12-10,2787965087.0,162.0,7.2,11800,"['Sam', 'Worthington', 'Zoe', 'Saldana', 'Sigourney', 'Weaver', 'Stephen', 'Lang', 'Michelle', 'Rodriguez']",James Cameron,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['in', 'the', '22nd', 'century', 'a', 'paraplegic', 'marine', 'is', 'dispatched', 'to', 'the', 'moon', 'pandora', 'on', 'a', 'unique', 'mission', 'but', 'becomes', 'torn', 'between', 'following', 'order', 'and', 'protecting', 'an', 'alien', 'civilization']"
Pirates of the Caribbean: At World's End,300000000.0,2007-05-19,961000000.0,169.0,6.9,4500,"['Johnny', 'Depp', 'Orlando', 'Bloom', 'Keira', 'Knightley', 'Stellan', 'Skarsguerd', 'Chow', 'Yunfat']",Gore Verbinski,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['captain', 'barbossa', 'long', 'believed', 'to', 'be', 'dead', 'ha', 'come', 'back', 'to', 'life', 'and', 'is', 'headed', 'to', 'the', 'edge', 'of', 'the', 'earth', 'with', 'will', 'turner', 'and', 'elizabeth', 'swann', 'but', 'nothing', 'is', 'quite', 'a', 'it', 'seems']"
Spectre,245000000.0,2015-10-26,880674609.0,148.0,6.3,4466,"['Daniel', 'Craig', 'Christoph', 'Waltz', 'Luea', 'Seydoux', 'Ralph', 'Fiennes', 'Monica', 'Bellucci']",Sam Mendes,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['a', 'cryptic', 'message', 'from', 'bond', 's', 'past', 'sends', 'him', 'on', 'a', 'trail', 'to', 'uncover', 'a', 'sinister', 'organization', 'while', 'm', 'battle', 'political', 'force', 'to', 'keep', 'the', 'secret', 'service', 'alive', 'bond', 'peel', 'back', 'the', 'layer', 'of', 'deceit', 'to', 'reveal', 'the', 'terrible', 'truth', 'behind', 'spectre']"
The Dark Knight Rises,250000000.0,2012-07-16,1084939099.0,165.0,7.6,9106,"['Christian', 'Bale', 'Michael', 'Caine', 'Gary', 'Oldman', 'Anne', 'Hathaway', 'Tom', 'Hardy']",Christopher Nolan,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['following', 'the', 'death', 'of', 'district', 'attorney', 'harvey', 'dent', 'batman', 'assumes', 'responsibility', 'for', 'dent', 's', 'crime', 'to', 'protect', 'the', 'late', 'attorney', 's', 'reputation', 'and', 'is', 'subsequently', 'hunted', 'by', 'the', 'gotham', 'city', 'police', 'department', 'eight', 'year', 'later', 'batman', 'encounter', 'the', 'mysterious', 'selina', 'kyle', 'and', 'the', 'villainous', 'bane', 'a', 'new', 'terrorist', 'leader', 'who', 'overwhelms', 'gotham', 's', 'finest', 'the', 'dark', 'knight', 'resurfaces', 'to', 'protect', 'a', 'city', 'that', 'ha', 'branded', 'him', 'an', 'enemy']"
John Carter,260000000.0,2012-03-07,284139100.0,132.0,6.1,2124,"['Taylor', 'Kitsch', 'Lynn', 'Collins', 'Samantha', 'Morton', 'Willem', 'Dafoe', 'Thomas', 'Haden', 'Church']",Andrew Stanton,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['john', 'carter', 'is', 'a', 'war', 'weary', 'former', 'military', 'captain', 'who', 's', 'inexplicably', 'transported', 'to', 'the', 'mysterious', 'and', 'exotic', 'planet', 'of', 'barsoom', 'mar', 'and', 'reluctantly', 'becomes', 'embroiled', 'in', 'an', 'epic', 'conflict', 'it', 's', 'a', 'world', 'on', 'the', 'brink', 'of', 'collapse', 'and', 'carter', 'rediscovers', 'his', 'humanity', 'when', 'he', 'realizes', 'the', 'survival', 'of', 'barsoom', 'and', 'it', 'people', 'rest', 'in', 'his', 'hand']"
Spider-Man 3,258000000.0,2007-05-01,890871626.0,139.0,5.9,3576,"['Tobey', 'Maguire', 'Kirsten', 'Dunst', 'James', 'Franco', 'Thomas', 'Haden', 'Church', 'Topher', 'Grace']",Sam Raimi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['the', 'seemingly', 'invincible', 'spider', 'man', 'go', 'up', 'against', 'an', 'all', 'new', 'crop', 'of', 'villain', 'including', 'the', 'shape', 'shifting', 'sandman', 'while', 'spider', 'man', 's', 'superpower', 'are', 'altered', 'by', 'an', 'alien', 'organism', 'his', 'alter', 'ego', 'peter', 'parker', 'deal', 'with', 'nemesis', 'eddie', 'brock', 'and', 'also', 'get', 'caught', 'up', 'in', 'a', 'love', 'triangle']"
Tangled,260000000.0,2010-11-24,591794936.0,100.0,7.4,3330,"['Zachary', 'Levi', 'Mandy', 'Moore', 'Donna', 'Murphy', 'Ron', 'Perlman', 'MC', 'Gainey']",Byron Howard,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"['when', 'the', 'kingdom', 's', 'most', 'wanted', 'and', 'most', 'charming', 'bandit', 'flynn', 'rider', 'hide', 'out', 'in', 'a', 'mysterious', 'tower', 'he', 's', 'taken', 'hostage', 'by', 'rapunzel', 'a', 'beautiful', 'and', 'feisty', 'tower', 'bound', 'teen', 'with', '70', 'foot', 'of', 'magical', 'golden', 'hair', 'flynn', 's', 'curious', 'captor', 'who', 's', 'looking', 'for', 'her', 'ticket', 'out', 'of', 'the', 'tower', 'where', 'she', 's', 'been', 'locked', 'away', 'for', 'year', 'strike', 'a', 'deal', 'with', 'the', 'handsome', 'thief', 'and', 'the', 'unlikely', 'duo', 'set', 'off', 'on', 'an', 'action', 'packed', 'escapade', 'complete', 'with', 'a', 'super', 'cop', 'horse', 'an', 'over', 'protective', 'chameleon', 'and', 'a', 'gruff', 'gang', 'of', 'pub', 'thug']"
Avengers: Age of Ultron,280000000.0,2015-04-22,1405403694.0,141.0,7.3,6767,"['Robert', 'Downey', 'Jr', 'Chris', 'Hemsworth', 'Mark', 'Ruffalo', 'Chris', 'Evans', 'Scarlett', 'Johansson']",Joss Whedon,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['when', 'tony', 'stark', 'try', 'to', 'jumpstart', 'a', 'dormant', 'peacekeeping', 'program', 'thing', 'go', 'awry', 'and', 'earth', 's', 'mightiest', 'hero', 'are', 'put', 'to', 'the', 'ultimate', 'test', 'a', 'the', 'fate', 'of', 'the', 'planet', 'hang', 'in', 'the', 'balance', 'a', 'the', 'villainous', 'ultron', 'emerges', 'it', 'is', 'up', 'to', 'the', 'avenger', 'to', 'stop', 'him', 'from', 'enacting', 'his', 'terrible', 'plan', 'and', 'soon', 'uneasy', 'alliance', 'and', 'unexpected', 'action', 'pave', 'the', 'way', 'for', 'an', 'epic', 'and', 'unique', 'global', 'adventure']"
Harry Potter and the Half-Blood Prince,250000000.0,2009-07-07,933959197.0,153.0,7.4,5293,"['Daniel', 'Radcliffe', 'Rupert', 'Grint', 'Emma', 'Watson', 'Tom', 'Felton', 'Michael', 'Gambon']",David Yates,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['a', 'harry', 'begin', 'his', 'sixth', 'year', 'at', 'hogwarts', 'he', 'discovers', 'an', 'old', 'book', 'marked', 'a', 'property', 'of', 'the', 'half', 'blood', 'prince', 'and', 'begin', 'to', 'learn', 'more', 'about', 'lord', 'voldemort', 's', 'dark', 'past']"
Batman v Superman: Dawn of Justice,250000000.0,2016-03-23,873260194.0,151.0,5.7,7004,"['Ben', 'Affleck', 'Henry', 'Cavill', 'Gal', 'Gadot', 'Amy', 'Adams', 'Jesse', 'Eisenberg']",Zack Snyder,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['fearing', 'the', 'action', 'of', 'a', 'god', 'like', 'super', 'hero', 'left', 'unchecked', 'gotham', 'city', 's', 'own', 'formidable', 'forceful', 'vigilante', 'take', 'on', 'metropolis', 's', 'most', 'revered', 'modern', 'day', 'savior', 'while', 'the', 'world', 'wrestle', 'with', 'what', 'sort', 'of', 'hero', 'it', 'really', 'need', 'and', 'with', 'batman', 'and', 'superman', 'at', 'war', 'with', 'one', 'another', 'a', 'new', 'threat', 'quickly', 'arises', 'putting', 'mankind', 'in', 'greater', 'danger', 'than', 'it', 's', 'ever', 'known', 'before']"
Superman Returns,270000000.0,2006-06-28,391081192.0,154.0,5.4,1400,"['Brandon', 'Routh', 'Kevin', 'Spacey', 'Kate', 'Bosworth', 'James', 'Marsden', 'Parker', 'Posey']",Bryan Singer,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['superman', 'return', 'to', 'discover', 'his', '5', 'year', 'absence', 'ha', 'allowed', 'lex', 'luthor', 'to', 'walk', 'free', 'and', 'that', 'those', 'he', 'wa', 'closest', 'too', 'felt', 'abandoned', 'and', 'have', 'moved', 'on', 'luthor', 'plot', 'his', 'ultimate', 'revenge', 'that', 'could', 'see', 'million', 'killed', 'and', 'change', 'the', 'face', 'of', 'the', 'planet', 'forever', 'a', 'well', 'a', 'ridding', 'himself', 'of', 'the', 'man', 'of', 'steel']"
Quantum of Solace,200000000.0,2008-10-30,586090727.0,106.0,6.1,2965,"['Daniel', 'Craig', 'Olga', 'Kurylenko', 'Mathieu', 'Amalric', 'Judi', 'Dench', 'Giancarlo', 'Giannini']",Marc Forster,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['quantum', 'of', 'solace', 'continues', 'the', 'adventure', 'of', 'james', 'bond', 'after', 'casino', 'royale', 'betrayed', 'by', 'vesper', 'the', 'woman', 'he', 'loved', '007', 'fight', 'the', 'urge', 'to', 'make', 'his', 'latest', 'mission', 'personal', 'pursuing', 'his', 'determination', 'to', 'uncover', 'the', 'truth', 'bond', 'and', 'm', 'interrogate', 'mr', 'white', 'who', 'reveals', 'that', 'the', 'organization', 'that', 'blackmailed', 'vesper', 'is', 'far', 'more', 'complex', 'and', 'dangerous', 'than', 'anyone', 'had', 'imagined']"
Pirates of the Caribbean: Dead Man's Chest,200000000.0,2006-06-20,1065659812.0,151.0,7.0,5246,"['Johnny', 'Depp', 'Orlando', 'Bloom', 'Keira', 'Knightley', 'Stellan', 'Skarsguerd', 'Bill', 'Nighy']",Gore Verbinski,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['captain', 'jack', 'sparrow', 'work', 'his', 'way', 'out', 'of', 'a', 'blood', 'debt', 'with', 'the', 'ghostly', 'davey', 'jones', 'he', 'also', 'attempt', 'to', 'avoid', 'eternal', 'damnation']"
The Lone Ranger,255000000.0,2013-07-03,89289910.0,149.0,5.9,2311,"['Johnny', 'Depp', 'Armie', 'Hammer', 'William', 'Fichtner', 'Helena', 'Bonham', 'Carter', 'James', 'Badge', 'Dale']",Gore Verbinski,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"['the', 'texas', 'ranger', 'chase', 'down', 'a', 'gang', 'of', 'outlaw', 'led', 'by', 'butch', 'cavendish', 'but', 'the', 'gang', 'ambush', 'the', 'ranger', 'seemingly', 'killing', 'them', 'all', 'one', 'survivor', 'is', 'found', 'however', 'by', 'an', 'american', 'indian', 'named', 'tonto', 'who', 'nurse', 'him', 'back', 'to', 'health', 'the', 'ranger', 'donning', 'a', 'mask', 'and', 'riding', 'a', 'white', 'stallion', 'named', 'silver', 'team', 'up', 'with', 'tonto', 'to', 'bring', 'the', 'unscrupulous', 'gang', 'and', 'others', 'of', 'that', 'ilk', 'to', 'justice']"
Man of Steel,225000000.0,2013-06-12,662845518.0,143.0,6.5,6359,"['Henry', 'Cavill', 'Amy', 'Adams', 'Michael', 'Shannon', 'Kevin', 'Costner', 'Diane', 'Lane']",Zack Snyder,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['a', 'young', 'boy', 'learns', 'that', 'he', 'ha', 'extraordinary', 'power', 'and', 'is', 'not', 'of', 'this', 'earth', 'a', 'a', 'young', 'man', 'he', 'journey', 'to', 'discover', 'where', 'he', 'came', 'from', 'and', 'what', 'he', 'wa', 'sent', 'here', 'to', 'do', 'but', 'the', 'hero', 'in', 'him', 'must', 'emerge', 'if', 'he', 'is', 'to', 'save', 'the', 'world', 'from', 'annihilation', 'and', 'become', 'the', 'symbol', 'of', 'hope', 'for', 'all', 'mankind']"
The Chronicles of Narnia: Prince Caspian,225000000.0,2008-05-15,419651413.0,150.0,6.3,1630,"['Ben', 'Barnes', 'William', 'Moseley', 'Anna', 'Popplewell', 'Skandar', 'Keynes', 'Georgie', 'Henley']",Andrew Adamson,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['one', 'year', 'after', 'their', 'incredible', 'adventure', 'in', 'the', 'lion', 'the', 'witch', 'and', 'the', 'wardrobe', 'peter', 'edmund', 'lucy', 'and', 'susan', 'pevensie', 'return', 'to', 'narnia', 'to', 'aid', 'a', 'young', 'prince', 'whose', 'life', 'ha', 'been', 'threatened', 'by', 'the', 'evil', 'king', 'miraz', 'now', 'with', 'the', 'help', 'of', 'a', 'colorful', 'cast', 'of', 'new', 'character', 'including', 'trufflehunter', 'the', 'badger', 'and', 'nikabrik', 'the', 'dwarf', 'the', 'pevensie', 'clan', 'embarks', 'on', 'an', 'incredible', 'quest', 'to', 'ensure', 'that', 'narnia', 'is', 'returned', 'to', 'it', 'rightful', 'heir']"
